percent_share,expected_share,RCA,iso_3digit_alpha,country_name_full,product_description
0.0851,0.04338,2,CYM,Cayman Islands,Other precious & semi precious stones not set
0.04732,0.03899,1,CYM,Cayman Islands,"Lead and lead alloys, unwrought"
0.04126,0.03574,1,CYM,Cayman Islands,"Sawlogs & veneer logs, in the rough non conifer"
0.0123,0.01421,1,CYM,Cayman Islands,Electric traffic control equipment
0.14997,0.19761,1,CYM,Cayman Islands,"Insecticides, fungicides, disinfectants"
23.46628,0.03574,657,CAF,Central African Republic,"Sawlogs & veneer logs, in the rough non conifer"
3.12172,0.00917,340,CAF,Central African Republic,Industrial diamonds
6.77114,0.05904,115,CAF,Central African Republic,"Lumber, sawn lengthwise ,etc. non conifer"
1.08161,0.02141,51,CAF,Central African Republic,Warships of all kinds
45.73274,0.90841,50,CAF,Central African Republic,"Aircraft, heavier than air"
0.03533,0.00081,44,CAF,Central African Republic,"Cocoa shells, husks, skins and waste"
0.29555,0.01462,20,CAF,Central African Republic,Parts of military ordnance
0.24306,0.01494,16,CAF,Central African Republic,Soups and broths
0.16836,0.01578,11,CAF,Central African Republic,"Lumber, planed, tongued, grooved, etc., non conifer"
0.67624,0.08558,8,CAF,Central African Republic,"Raw cotton, other than linters"
1.33636,0.00409,327,LKA,Sri Lanka,Cinnamon & cinnamon tree flowers
0.90409,0.00329,275,LKA,Sri Lanka,Sisal and other fibres of the agave family
9.59855,0.04186,229,LKA,Sri Lanka,Tea
0.23653,0.00187,126,LKA,Sri Lanka,"Cloves (whole fruit, cloves & stems)"
2.79867,0.02619,107,LKA,Sri Lanka,"Gloves, etc. knitted crocheted, not elastic"
0.03683,0.00035,104,LKA,Sri Lanka,"Copra, ex. flour and meal"
0.54253,0.0066,82,LKA,Sri Lanka,"Women�s/inf. under garments, not knitted/crochet."
4.97342,0.06282,79,LKA,Sri Lanka,"Corsets, suspenders, gartes & similar articles"
0.88683,0.01512,59,LKA,Sri Lanka,Activated carbon & actv. nat. mineral products
0.61285,0.01154,53,LKA,Sri Lanka,"Other materials of vegetable origin, n.e.s."
1.71645,0.00525,327,TCD,Chad,"Natural gums, resins, balsam and lacs"
2.87146,0.10504,27,TCD,Chad,"Oil seeds, oil nuts & oil kernels, n.e.s."
73.92024,5.5729,13,TCD,Chad,Crude petroleum
0.03621,0.00287,13,TCD,Chad,"Hides & skins, n.e.s."
0.00615,0.00127,5,TCD,Chad,Silk yarn not put up for retail sale
20.89441,5.81302,4,TCD,Chad,NA
0.00269,0.00135,2,TCD,Chad,Cotton seed
0.02079,0.01363,2,TCD,Chad,"Wadding and articles of wadding, etc."
0.00436,0.00332,1,TCD,Chad,Pile and chenille fabrics of cotton
0.10989,0.08558,1,TCD,Chad,"Raw cotton, other than linters"
0.86757,0.00769,113,CHL,Chile,Other halogens
0.05587,0.00072,78,CHL,Chile,Natural sodium nitrate
24.57443,0.32293,76,CHL,Chile,Ores and concentrates of copper
2.82558,0.04114,69,CHL,Chile,"Stone fruit, fresh"
0.44566,0.00711,63,CHL,Chile,Nitrites and nitrates
0.39865,0.00703,57,CHL,Chile,"Sulphate wood pulp, unbleached"
1.22461,0.02393,51,CHL,Chile,Other carbonates and percarbonates
18.59446,0.36948,50,CHL,Chile,Refined copper including remelted
1.94201,0.04874,40,CHL,Chile,"Grapes, fresh"
1.89356,0.0507,37,CHL,Chile,"Ores & conc. of titanium, vanadium, molybdem, etc."
0.11747,0.01887,6,CHN,China,"Artificial flowers, etc."
0.00374,0.00063,6,CHN,China,Bristles and brush making hair & their wastes
0.08904,0.01559,6,CHN,China,Umbrellas and sunshades
0.00295,0.00052,6,CHN,China,Pile and chenille fabrics of synthetic fibres
0.10358,0.01877,6,CHN,China,Portable electric battery lamps
0.29963,0.05451,5,CHN,China,"Christmas decorations, etc."
0.08299,0.01543,5,CHN,China,"Vacuum flasks, etc."
0.04357,0.00848,5,CHN,China,"Combs, hair slides, etc"
0.13315,0.02614,5,CHN,China,"Blankets, travelling rugs and coverlets"
0.01811,0.00359,5,CHN,China,"Yarn fine anim hair, not put up for retail sale"
38.62678,0.01101,3508,CXR,Christmas Islands,Other phosphatic fertilizers & fert. materials
39.35604,0.01798,2189,CXR,Christmas Islands,"Natural phosphates, whether or not ground"
0.77459,0.01731,45,CXR,Christmas Islands,"Converters, ladles, ingot moulds & castings"
5.06738,0.13767,37,CXR,Christmas Islands,"Fertilizers, n.e.s."
1.10101,0.03748,29,CXR,Christmas Islands,"Other articles of wood, n.e.s."
0.05971,0.00285,21,CXR,Christmas Islands,Iron/steel wire of high carbon steel
0.15558,0.01233,13,CXR,Christmas Islands,Cigarette paper cut to size
0.27937,0.03291,8,CXR,Christmas Islands,"Ketones, quinones and derivatives"
0.0247,0.00342,7,CXR,Christmas Islands,"Ties, bow ties and cravats"
0.25259,0.03959,6,CXR,Christmas Islands,Organo sulphur compounds
1.09635,0.01259,87,CCK,Cocos Islands,"Indoor ornaments of base metals, n.e.s."
0.51165,0.01328,39,CCK,Cocos Islands,Photographic cameras and flashlight apparatus
2.30358,0.06569,35,CCK,Cocos Islands,"Instr. for physical or chemical analysis, etc."
0.06445,0.00261,25,CCK,Cocos Islands,Percussion musical instruments
0.55813,0.02484,22,CCK,Cocos Islands,"Anim./veget. oils, boiled, oxidized, dehydrated"
0.77723,0.03574,22,CCK,Cocos Islands,Gas or liquid supply meters
0.17551,0.00819,21,CCK,Cocos Islands,Children�s picture & painting books
0.0325,0.00159,20,CCK,Cocos Islands,Waste & scrap of unhardened rubber
0.48114,0.0261,18,CCK,Cocos Islands,"Shawls, scarves, etc. Not knitted or crocheted"
3.798,0.2176,17,CCK,Cocos Islands,"Pocket watches, wrist watches & other watches"
3.66662,0.04776,77,COL,Colombia,Cut flowers and buds for ornamental purposes
1.92574,0.04553,42,COL,Colombia,"Coke & semi coke of coal, of lignite or of peat"
5.91271,0.1624,36,COL,Colombia,"Coffee, green or roasted"
2.5793,0.07867,33,COL,Colombia,"Bananas including plantains ,fresh"
0.04326,0.00191,23,COL,Colombia,"Ambergris, civet, musk, etc."
13.85609,0.70709,20,COL,Colombia,"Coal /anthracite, bituminous/"
0.61803,0.04064,15,COL,Colombia,"Coffee extracts, essences, concentrates"
0.016,0.00111,14,COL,Colombia,Chlorine
0.53994,0.04338,12,COL,Colombia,Other precious & semi precious stones not set
0.06867,0.00585,12,COL,Colombia,Natural asphalt & natural bitumen
34.16836,0.00187,18223,COM,Comoros,"Cloves (whole fruit, cloves & stems)"
10.13928,0.00665,1525,COM,Comoros,Vanilla
12.28143,0.01543,796,COM,Comoros,"Vacuum flasks, etc."
22.86112,0.03452,662,COM,Comoros,Essential oils and resinoids
9.68331,0.01654,585,COM,Comoros,"Ships, boats and other vessels for breaking up"
0.13885,0.00503,28,COM,Comoros,"Pianos, harpsichords, keyboard string instruments"
0.42915,0.01928,22,COM,Comoros,Compressed gas cylinders of iron or steel
2.25987,0.11258,20,COM,Comoros,Electrical starting & ignition equipment
0.01863,0.00114,16,COM,Comoros,"Tanks, etc. for storage or manuf. use of aluminium"
0.21272,0.01806,12,COM,Comoros,Fishing and hunting equipment
0.46242,0.00351,132,COG,Congo,Ores and concentrates of tin
2.63616,0.03574,74,COG,Congo,"Sawlogs & veneer logs, in the rough non conifer"
23.45396,0.36948,63,COG,Congo,Refined copper including remelted
1.3223,0.05904,22,COG,Congo,"Lumber, sawn lengthwise ,etc. non conifer"
0.26245,0.02161,12,COG,Congo,"Articles of copper, n.e.s."
63.6895,5.5729,11,COG,Congo,Crude petroleum
0.18708,0.02006,9,COG,Congo,Veneer sheets
0.96119,0.15406,6,COG,Congo,Special purpose vessels(e.g. light vess. dredgers
0.29185,0.0507,6,COG,Congo,"Ores & conc. of titanium, vanadium, molybdem, etc."
0.05642,0.0101,6,COG,Congo,Cobalt oxides and hydroxides
7.51086,0.0101,743,COD,Democratic Republic of the Congo,Cobalt oxides and hydroxides
1.8177,0.00369,493,COD,Democratic Republic of the Congo,Other ores & conc. of non-ferrous base metals.
61.89991,0.36948,168,COD,Democratic Republic of the Congo,Refined copper including remelted
11.71374,0.09043,130,COD,Democratic Republic of the Congo,"Base metals, n.e.s."
0.30195,0.00351,86,COD,Democratic Republic of the Congo,Ores and concentrates of tin
0.49328,0.00917,54,COD,Democratic Republic of the Congo,Industrial diamonds
2.1088,0.06599,32,COD,Democratic Republic of the Congo,Blister copper and other unrefined copper
0.1351,0.00554,24,COD,Democratic Republic of the Congo,Copper matte
5.52031,0.32293,17,COD,Democratic Republic of the Congo,Ores and concentrates of copper
0.01204,0.00097,12,COD,Democratic Republic of the Congo,Ores & concentrates of tungsten
1.12856,0.00272,415,COK,Cook Islands,"Coin other than gold ,not being legal tender"
56.16072,0.41865,134,COK,Cook Islands,"Fish, fresh, chilled or frozen"
22.63151,0.44848,50,COK,Cook Islands,"Ships and boats, other than warships"
3.12499,0.08293,38,COK,Cook Islands,"Fruit juices & vegetable juices, unfermented"
0.29289,0.00885,33,COK,Cook Islands,"Naturalists"" collections, collector numismatic p."
0.57628,0.0213,27,COK,Cook Islands,Laboratory & industrial art. Of precious metal
1.6387,0.06569,25,COK,Cook Islands,"Instr. for physical or chemical analysis, etc."
0.20441,0.00833,25,COK,Cook Islands,"Cider & fermented beverages, n.e.s."
0.06379,0.00474,13,COK,Cook Islands,"Pearls, not set or strung"
0.2635,0.03291,8,COK,Cook Islands,"Ketones, quinones and derivatives"
10.73273,0.07867,136,CRI,Costa Rica,"Bananas including plantains ,fresh"
9.61839,0.0729,132,CRI,Costa Rica,"Tropical fruit other than bananas, fresh"
0.95716,0.01392,69,CRI,Costa Rica,"Roots & tubers, fresh or dried, sago pith"
0.28237,0.00711,40,CRI,Costa Rica,"Foliage, branches, etc. for ornamental purposes"
21.59055,0.5581,39,CRI,Costa Rica,Medical instruments & app.exc. electro medical
0.15369,0.0053,29,CRI,Costa Rica,Other prepared explosives
0.03204,0.00123,26,CRI,Costa Rica,"Wire of iron or steel, of types used for fencing"
0.02699,0.00103,26,CRI,Costa Rica,Puddled bars & pilings & sim. forms of iron/ste.
0.91136,0.04182,22,CRI,Costa Rica,"Optical elements, unmounted"
0.56869,0.02845,20,CRI,Costa Rica,"Fruit pres. By freezing, not cont. Added sugar"
0.01798,0.00019,96,HRV,Croatia,True hemp and true hemp tow and waste
0.12317,0.00194,64,HRV,Croatia,Improved wood
0.00167,3.00E-05,62,HRV,Croatia,Wool shoddy
0.11431,0.00185,62,HRV,Croatia,Mechanical wood pulp
0.25958,0.00488,53,HRV,Croatia,Revolvers and pistols
0.77557,0.01542,50,HRV,Croatia,"Manufactures of leather, n.e.s."
2.01971,0.05904,34,HRV,Croatia,"Lumber, sawn lengthwise ,etc. non conifer"
0.12654,0.00381,33,HRV,Croatia,"Roofing tiles, chimney pots and other ceramic"
0.00896,3.00E-04,30,HRV,Croatia,"Sugar beet, fresh or dried; sugar cane"
0.43065,0.01578,27,HRV,Croatia,"Lumber, planed, tongued, grooved, etc., non conifer"
23.25109,0.01481,1570,CUB,Cuba,Cigars & cheroots
3.21361,0.00792,406,CUB,Cuba,Wood charcoal
10.8837,0.03585,304,CUB,Cuba,Nickel/speis matte & other intermediate prod.
15.8436,0.06697,237,CUB,Cuba,"Raw sugar, beet & cane"
6.48157,0.05837,111,CUB,Cuba,Ores and concentrates of zinc
1.18035,0.01091,108,CUB,Cuba,Natural honey
2.14586,0.03355,64,CUB,Cuba,Ores and concentrates of lead
2.66239,0.04645,57,CUB,Cuba,"Ores & conc. of silver, platinum, etc."
8.34736,0.19111,44,CUB,Cuba,Distilled alcoholic beverages
6.15125,0.20536,30,CUB,Cuba,"Crustacean & molluscs, fresh, chilled, salted, dried"
2.14643,0.02177,99,CYP,Cyprus,Tugs
0.82515,0.00969,85,CYP,Cyprus,Rail & tram passenger cars not mech propelled
0.88744,0.01481,60,CYP,Cyprus,Cigars & cheroots
8.0921,0.15406,53,CYP,Cyprus,Special purpose vessels(e.g. light vess. dredgers
1.19156,0.028,43,CYP,Cyprus,"Potatoes, fresh, not including sweet potatoes"
6.59762,0.1797,37,CYP,Cyprus,Cheese and curd
15.23609,0.44848,34,CYP,Cyprus,"Ships and boats, other than warships"
0.25386,0.00835,30,CYP,Cyprus,Gypsum and plasters
0.5578,0.02141,26,CYP,Cyprus,Warships of all kinds
0.05804,0.00287,20,CYP,Cyprus,"Hides & skins, n.e.s."
0.37164,0.01694,22,CZE,Czechia,Microscopes & diffraction apparatus
0.08784,0.0041,21,CZE,Czechia,Other non military arms
0.00103,6.00E-05,17,CZE,Czechia,"Sound track, developed"
0.10602,0.0085,12,CZE,Czechia,Wool tops
0.10806,0.00954,11,CZE,Czechia,"Mining, blasting and safety fuses"
0.05231,0.00488,11,CZE,Czechia,Revolvers and pistols
0.00521,0.00065,8,CZE,Czechia,"Waste of wool and of other animal hair, n.e.s"
0.39315,0.04995,8,CZE,Czechia,"Sawlogs & veneer logs, in the rough conifer"
0.00948,0.00124,8,CZE,Czechia,"Walking sticks, canes, riding crops, etc."
0.02732,0.00366,7,CZE,Czechia,Hops
0.95296,0.00085,1121,BEN,Benin,Cotton seed oil
23.63774,0.08558,276,BEN,Benin,"Raw cotton, other than linters"
12.02807,0.0514,234,BEN,Benin,"Coconuts, brazil cashew nuts, fresh/dried"
0.13913,0.00135,103,BEN,Benin,Cotton seed
0.29249,0.0045,65,BEN,Benin,"Cotton, carded or combed"
0.08283,0.00221,37,BEN,Benin,Calf skins and kip skins
2.39283,0.06599,36,BEN,Benin,Blister copper and other unrefined copper
0.46001,0.01578,29,BEN,Benin,"Lumber, planed, tongued, grooved, etc., non conifer"
0.49856,0.01826,27,BEN,Benin,"Other cotton fabrics, woven unbleached"
1.11055,0.05904,19,BEN,Benin,"Lumber, sawn lengthwise ,etc. non conifer"
0.6741,0.01145,59,DNK,Denmark,"Fur skins, undressed"
1.09063,0.02251,48,DNK,Denmark,Swine
1.18651,0.02964,40,DNK,Denmark,Enzymes
0.16329,0.00989,17,DNK,Denmark,"Albumins, albuminates & albumin derivatives"
2.76671,0.18023,15,DNK,Denmark,"Meat of swine, fresh, chilled or frozen"
0.01377,0.00093,15,DNK,Denmark,Chalk
0.09698,0.00711,14,DNK,Denmark,"Foliage, branches, etc. for ornamental purposes"
0.01392,0.00105,13,DNK,Denmark,"Infusorial earths, etc."
0.01403,0.00109,13,DNK,Denmark,Filterblocks of paper pulp
0.34944,0.02809,12,DNK,Denmark,Hearing aids
8.13091,0.07924,103,DMA,Dominica,Other pharmaceutical goods
1.42464,0.01392,102,DMA,Dominica,"Roots & tubers, fresh or dried, sago pith"
0.39243,0.00386,102,DMA,Dominica,Cereal meal & groats excl. Of wheat or meslin
2.33934,0.03932,59,DMA,Dominica,Soaps
0.61355,0.01171,52,DMA,Dominica,Sand excluding metal bearing sand
0.13703,0.00301,45,DMA,Dominica,Textile fabrics coated with gum or amylaceous
2.0124,0.04598,44,DMA,Dominica,"Bandages, etc. impregnated/coated with pharm.pro."
0.90185,0.02064,44,DMA,Dominica,Gravel & crushed stone
0.78394,0.02056,38,DMA,Dominica,Other paper & paperboard cut to size
2.69948,0.0729,37,DMA,Dominica,"Tropical fruit other than bananas, fresh"
6.69362,0.01481,452,DOM,Dominican Republic,Cigars & cheroots
0.32731,0.00368,89,DOM,Dominican Republic,Footwear with soles of wood or cork
0.23866,0.00344,69,DOM,Dominican Republic,"Used or new rags, scrap cordage or worm out art."
3.69944,0.07867,47,DOM,Dominican Republic,"Bananas including plantains ,fresh"
1.62384,0.05089,32,DOM,Dominican Republic,"Cocoa beans, raw or roasted"
0.08777,0.00386,23,DOM,Dominican Republic,Cereal meal & groats excl. Of wheat or meslin
0.1372,0.00606,23,DOM,Dominican Republic,Molasses
0.56248,0.02768,20,DOM,Dominican Republic,Flour of wheat or of meslin
2.75158,0.16085,17,DOM,Dominican Republic,Other ferro alloys
9.5399,0.5581,17,DOM,Dominican Republic,Medical instruments & app.exc. electro medical
14.80455,0.07867,188,ECU,Ecuador,"Bananas including plantains ,fresh"
0.02525,0.00017,144,ECU,Ecuador,Other hat bodies
3.79364,0.04776,79,ECU,Ecuador,Cut flowers and buds for ornamental purposes
16.11542,0.20536,78,ECU,Ecuador,"Crustacean & molluscs, fresh, chilled, salted, dried"
2.8286,0.05089,56,ECU,Ecuador,"Cocoa beans, raw or roasted"
5.06018,0.09929,51,ECU,Ecuador,Prepared or preserved fish incl. caviar
0.01132,3.00E-04,38,ECU,Ecuador,Hat bodies of wool felt and fur felt
0.11546,0.00329,35,ECU,Ecuador,Sisal and other fibres of the agave family
1.4984,0.04645,32,ECU,Ecuador,"Ores & conc. of silver, platinum, etc."
0.03362,0.00236,14,ECU,Ecuador,"Headgear, plaited"
2.51285,0.02056,122,SLV,El Salvador,Other paper & paperboard cut to size
0.53873,0.00606,89,SLV,El Salvador,Molasses
0.50513,0.00589,86,SLV,El Salvador,Cereal flours excl. of wheat or of meslin
0.55366,0.00751,74,SLV,El Salvador,Articles of asbestos cement or of fibre cement
3.18762,0.05991,53,SLV,El Salvador,"Stockings, etc., knitted or crocheted not elast."
17.22421,0.40582,42,SLV,El Salvador,"Under garments knitted, not elast. Nor rubberd"
2.7918,0.06697,42,SLV,El Salvador,"Raw sugar, beet & cane"
0.08847,0.00225,39,SLV,El Salvador,Meal & groats of wheat or of meslin
5.31636,0.14757,36,SLV,El Salvador,Electrical condensers
0.03684,0.00123,30,SLV,El Salvador,"Wire of iron or steel, of types used for fencing"
3.78115,0.03574,106,GNQ,Equatorial Guinea,"Sawlogs & veneer logs, in the rough non conifer"
5.86929,0.05556,106,GNQ,Equatorial Guinea,Methyl alcohol /methanol/
0.25976,0.02006,13,GNQ,Equatorial Guinea,Veneer sheets
68.7059,5.5729,12,GNQ,Equatorial Guinea,Crude petroleum
20.26113,1.70342,12,GNQ,Equatorial Guinea,"Gas, natural"
0.17103,0.03371,5,GNQ,Equatorial Guinea,Bauxite and concentrates of aluminium
0.21517,0.05904,4,GNQ,Equatorial Guinea,"Lumber, sawn lengthwise ,etc. non conifer"
0.1587,0.20284,1,GNQ,Equatorial Guinea,Iron & steel scrap
0.05223,0.07032,1,GNQ,Equatorial Guinea,Aluminium waste and scrap
0.00713,0.01145,1,GNQ,Equatorial Guinea,"Road rollers, mechanically propelled"
1.40506,0.00514,273,ETH,Ethiopia,Leather of sheep and lamb skins
0.63548,0.00325,196,ETH,Ethiopia,Leather of goat and kid skins
25.92371,0.1624,160,ETH,Ethiopia,"Coffee, green or roasted"
0.17651,0.00135,131,ETH,Ethiopia,Cotton seed
12.65289,0.10504,120,ETH,Ethiopia,"Oil seeds, oil nuts & oil kernels, n.e.s."
5.08929,0.04776,107,ETH,Ethiopia,Cut flowers and buds for ornamental purposes
5.5687,0.05487,101,ETH,Ethiopia,"Beans, peas, lentils & leguminous vegetable. dried"
1.72171,0.01759,98,ETH,Ethiopia,"Groundnuts peanuts green, ex. flour and meal"
0.08112,0.00083,97,ETH,Ethiopia,Beeswax and other insect waxes
0.04879,0.00068,71,ETH,Ethiopia,"Sheep and lamb skins, without the wool"
42.1247,0.05837,722,ERI,Eritrea,Ores and concentrates of zinc
21.06831,0.32293,65,ERI,Eritrea,Ores and concentrates of copper
0.03459,0.00187,18,ERI,Eritrea,"Cloves (whole fruit, cloves & stems)"
0.18368,0.02076,9,ERI,Eritrea,"Pepper & pimento, whether or not ground"
35.45717,5.81302,6,ERI,Eritrea,NA
0.37003,0.09733,4,ERI,Eritrea,"Men�s/boy�s under garments, not knitted/crochet."
0.21614,0.08983,2,ERI,Eritrea,"Crustacean & molluscs, prepared or preserved"
0.01885,0.01265,1,ERI,Eritrea,Other dried fruit
0.00223,0.00223,1,ERI,Eritrea,"Cotton waste, not carded or combed"
0.06825,0.09004,1,ERI,Eritrea,"Beer including ale, stout, porter"
0.87267,0.01236,71,EST,Estonia,"Lumber, planed, tongued, grooved, etc. Conifer"
0.50673,0.01053,48,EST,Estonia,Semi chemical wood pulp
0.4984,0.01115,45,EST,Estonia,Peat briquettes & peat
1.35189,0.032,42,EST,Estonia,Fuel wood & wood waste
4.84316,0.12953,37,EST,Estonia,Builders woodwork & prefab. Buildings of wood
0.05416,0.00178,30,EST,Estonia,"Rye, unmilled"
0.09495,0.00323,29,EST,Estonia,"Yarn carded sheeps lambs wool, not for retail"
0.11786,0.00468,25,EST,Estonia,"Oats, unmilled"
3.33032,0.13302,25,EST,Estonia,Oils & other prod. of the  distillation/coal tar
0.11103,0.00464,24,EST,Estonia,Tantalum
82.84361,0.20536,403,FLK,Falkland Islands (Malvinas),"Crustacean & molluscs, fresh, chilled, salted, dried"
4.5923,0.01658,277,FLK,Falkland Islands (Malvinas),"Sheeps and lambs wool, greasy or fleece washed"
11.1623,0.41865,27,FLK,Falkland Islands (Malvinas),"Fish, fresh, chilled or frozen"
0.7591,0.04456,17,FLK,Falkland Islands (Malvinas),"Meat of sheep & goats, fresh, chilled or frozen"
0.02327,0.01047,2,FLK,Falkland Islands (Malvinas),"Nets and netting of cordage, etc."
0.0081,0.0065,1,FLK,Falkland Islands (Malvinas),"Floating structures, other than vessels (buoys)."
0.00128,0.00272,0,FLK,Falkland Islands (Malvinas),"Coin other than gold ,not being legal tender"
0.01901,0.04619,0,FLK,Falkland Islands (Malvinas),"Edible offals of animals, fresh, chilled, frozen"
0.00231,0.0085,0,FLK,Falkland Islands (Malvinas),Wool tops
0.0015,0.00561,0,FLK,Falkland Islands (Malvinas),Ingots of alloy steel
25.77714,0.02337,1103,FJI,Fiji,Waters(incl.spa waters);ice and snow
0.48893,0.00324,151,FJI,Fiji,"Fruit, fruit peel, preserved by sugar"
0.81051,0.00606,134,FJI,Fiji,Molasses
3.5411,0.03301,107,FJI,Fiji,"Hoopwood, chipwood, split, poles, piles, etc."
1.87847,0.01794,105,FJI,Fiji,"Antiques, n.e.s."
1.34025,0.01392,96,FJI,Fiji,"Roots & tubers, fresh or dried, sago pith"
5.49267,0.06697,82,FJI,Fiji,"Raw sugar, beet & cane"
1.34281,0.01928,70,FJI,Fiji,Compressed gas cylinders of iron or steel
1.23039,0.01783,69,FJI,Fiji,"Plants, seeds, flowers used in perfumery/pharmac."
6.04924,0.09929,61,FJI,Fiji,Prepared or preserved fish incl. caviar
0.51861,0.01158,45,FIN,Finland,Parchment or greaseproof paper/board in rolls
3.42874,0.08595,40,FIN,Finland,"Machine made printing & writing paper, coated"
0.42685,0.01145,37,FIN,Finland,"Fur skins, undressed"
1.06103,0.02997,35,FIN,Finland,Machinery for making or finishing cel. pulp
0.16736,0.00554,30,FIN,Finland,Copper matte
0.12187,0.00468,26,FIN,Finland,"Oats, unmilled"
0.24806,0.0101,25,FIN,Finland,Cobalt oxides and hydroxides
0.23975,0.01053,23,FIN,Finland,Semi chemical wood pulp
0.07703,0.00349,22,FIN,Finland,Chlorates and perchlorates
3.82935,0.17967,21,FIN,Finland,"Paper/board, impregnated, coated etc. in rol. she."
0.10546,0.00546,19,FRA,"France, Monaco",Flax and flax tow and waste
0.08301,0.0053,16,FRA,"France, Monaco",Cooperage products
0.00323,3.00E-04,11,FRA,"France, Monaco",Uranium & thorium & their alloys
2.03599,0.19833,10,FRA,"France, Monaco","Wine of fresh grapes, grape must"
8.94923,0.90841,10,FRA,"France, Monaco","Aircraft, heavier than air"
0.00261,0.00028,9,FRA,"France, Monaco","Poultry liver, fresh, chilled, frozen salted"
0.01679,0.00184,9,FRA,"France, Monaco",Mustard flour and prepared mustard
0.00162,0.00019,9,FRA,"France, Monaco",True hemp and true hemp tow and waste
0.17584,0.02337,8,FRA,"France, Monaco",Waters(incl.spa waters);ice and snow
0.2583,0.03824,7,FRA,"France, Monaco","Barley, unmilled"
47.07583,0.00474,9928,PYF,French Polynesia,"Pearls, not set or strung"
1.13372,0.00083,1369,PYF,French Polynesia,Coral and shells and their wastes
3.82729,0.00665,576,PYF,French Polynesia,Vanilla
2.60741,0.01323,197,PYF,French Polynesia,Coconut copra oil
1.49681,0.01104,136,PYF,French Polynesia,Art .incorporating pearls of semi & precious st.
2.02855,0.01725,118,PYF,French Polynesia,"Jams, marmalades, fruit jellies"
0.08013,0.00164,49,PYF,French Polynesia,Parachutes
0.01116,0.00038,29,PYF,French Polynesia,Sidearms and parts thereof
0.14766,0.00697,21,PYF,French Polynesia,"Artillery weapons, mach. guns and arms, n.e.s."
8.48112,0.41865,20,PYF,French Polynesia,"Fish, fresh, chilled or frozen"
63.60355,0.41865,152,ATF,French South Antarctic Territories,"Fish, fresh, chilled or frozen"
14.79193,0.20536,72,ATF,French South Antarctic Territories,"Crustacean & molluscs, fresh, chilled, salted, dried"
4.13144,0.08726,47,ATF,French South Antarctic Territories,"Bonded fibre fabrics & articles thereof, n.e.s."
1.99317,0.04629,43,ATF,French South Antarctic Territories,Glass tableware etc for household hotel etc
0.44602,0.039,11,ATF,French South Antarctic Territories,"Apples, fresh"
0.30957,0.04072,8,ATF,French South Antarctic Territories,Internal combustion engines for aircraft
0.24616,0.03452,7,ATF,French South Antarctic Territories,Essential oils and resinoids
1.34985,0.19111,7,ATF,French South Antarctic Territories,Distilled alcoholic beverages
0.61374,0.11386,5,ATF,French South Antarctic Territories,"Lemonade & flav. waters, non alcoholic"
2.77426,0.75012,4,ATF,French South Antarctic Territories,Jet & gas turbines for aircraft
20.53649,0.00671,3061,DJI,Djibouti,"Animals, n.e.s."
18.03791,0.01107,1629,DJI,Djibouti,"Sheep, lambs and goats"
11.83074,0.01637,722,DJI,Djibouti,Chlorides and oxychlorides
9.18802,0.05487,167,DJI,Djibouti,"Beans, peas, lentils & leguminous vegetable. dried"
1.23472,0.01233,100,DJI,Djibouti,Cigarette paper cut to size
13.35844,0.16742,80,DJI,Djibouti,Palm oil
0.49621,0.00792,63,DJI,Djibouti,Wood charcoal
0.20852,0.00525,40,DJI,Djibouti,"Natural gums, resins, balsam and lacs"
0.1173,0.00325,36,DJI,Djibouti,Leather of goat and kid skins
0.61023,0.02104,29,DJI,Djibouti,Salt
19.65867,0.04484,438,GAB,Gabon,Ores and concentrates of manganese
3.02669,0.02006,151,GAB,Gabon,Veneer sheets
5.01077,0.05904,85,GAB,Gabon,"Lumber, sawn lengthwise ,etc. non conifer"
0.13649,0.00341,40,GAB,Gabon,Railway sleepers ties
67.34882,5.5729,12,GAB,Gabon,Crude petroleum
0.04634,0.00561,8,GAB,Gabon,Ingots of alloy steel
0.42587,0.09043,5,GAB,Gabon,"Base metals, n.e.s."
0.33422,0.08185,4,GAB,Gabon,"Plywood etc and veneered panels, inlaid wood"
0.07325,0.01794,4,GAB,Gabon,"Antiques, n.e.s."
0.13169,0.03574,4,GAB,Gabon,"Sawlogs & veneer logs, in the rough non conifer"
0.53368,0.00286,187,GEO,Georgia,Stable isotopes and their compounds
3.17061,0.02337,136,GEO,Georgia,Waters(incl.spa waters);ice and snow
0.24715,0.00235,105,GEO,Georgia,Manganese oxides
0.42335,0.00686,62,GEO,Georgia,Cyanides and complex cyanides
15.96296,0.32293,49,GEO,Georgia,Ores and concentrates of copper
0.06621,0.00136,49,GEO,Georgia,Yarn of text. Fibres spun or covered with metal
0.17886,0.00413,43,GEO,Georgia,"Halides, oxyhalides & other halogen compounds"
6.94796,0.16085,43,GEO,Georgia,Other ferro alloys
0.3591,0.01107,32,GEO,Georgia,"Sheep, lambs and goats"
5.21816,0.19833,26,GEO,Georgia,"Wine of fresh grapes, grape must"
3.12004,0.00257,1216,GMB,Gambia,Groundnut /peanut/ oil
19.09249,0.03574,534,GMB,Gambia,"Sawlogs & veneer logs, in the rough non conifer"
4.21476,0.01195,353,GMB,Gambia,Oils of fish and marine mammals
0.50719,0.00147,345,GMB,Gambia,Linseed oil
